Date,Total_Accidents
2019-08-25,16
2019-08-26,32
2019-08-27,26
2019-08-28,28
2019-08-29,38
2019-08-30,36
2019-08-31,20
2019-09-01,15
2019-09-02,47
2019-09-03,37
2019-09-04,32
2019-09-05,32
2019-09-06,35
2019-09-07,21
2019-09-08,19
2019-09-09,44
2019-09-10,38
2019-09-11,43
2019-09-12,45
2019-09-13,35
2019-09-14,27
2019-09-15,25
2019-09-16,42
2019-09-17,49
2019-09-18,32
2019-09-19,34
2019-09-20,38
2019-09-21,36
2019-09-22,16
2019-09-23,32
2019-09-24,40
2019-09-25,36
2019-09-26,43
2019-09-27,36
2019-09-28,24
2019-09-29,23
2019-09-30,37
2019-10-01,48
2019-10-02,34
2019-10-03,45
2019-10-04,51
2019-10-05,41
2019-10-06,25
2019-10-07,34
2019-10-08,35
2019-10-09,51
2019-10-10,36
2019-10-11,46
2019-10-12,23
2019-10-13,22
2019-10-14,52
2019-10-15,44
2019-10-16,42
2019-10-17,38
2019-10-18,42
2019-10-19,21
2019-10-20,21
2019-10-21,30
2019-10-22,56
2019-10-23,28
2019-10-24,35
2019-10-25,35
2019-10-26,27
2019-10-27,18
2019-10-28,31
2019-10-29,58
2019-10-30,45
2019-10-31,40
2019-11-01,51
2019-11-02,15
2019-11-03,23
2019-11-04,52
2019-11-05,39
2019-11-06,34
2019-11-07,46
2019-11-08,52
2019-11-09,42
2019-11-10,23
2019-11-11,45
2019-11-12,41
2019-11-13,49
2019-11-14,65
2019-11-15,16
2019-11-16,18
2019-11-17,27
2019-11-18,50
2019-11-19,29
2019-11-20,44
2019-11-21,44
2019-11-22,53
2019-11-23,29
2019-11-24,18
2019-11-25,44
2019-11-26,35
2019-11-27,41
2019-11-28,38
2019-11-29,54
2019-11-30,29
2019-12-01,26
2019-12-02,62
2019-12-03,50
2019-12-04,59
2019-12-05,59
2019-12-06,54
2019-12-07,34
2019-12-08,37
2019-12-09,46
2019-12-10,43
2019-12-11,51
2019-12-12,50
2019-12-13,48
2019-12-14,33
2019-12-15,20
2019-12-16,48
2019-12-17,50
2019-12-18,38
2019-12-19,46
2019-12-20,50
2019-12-21,34
2019-12-22,21
2019-12-23,44
2019-12-24,33
2019-12-25,14
2019-12-26,42
2019-12-27,37
2019-12-28,27
2019-12-29,15
2019-12-30,23
2019-12-31,10
