Date,Total_Accidents
2016-11-19,31
2016-11-20,19
2016-11-21,44
2016-11-22,36
2016-11-23,34
2016-11-24,31
2016-11-25,29
2016-11-26,31
2016-11-27,26
2016-11-28,36
2016-11-29,42
2016-11-30,41
2016-12-01,35
2016-12-02,32
2016-12-03,25
2016-12-04,24
2016-12-05,44
2016-12-06,47
2016-12-07,46
2016-12-08,30
2016-12-09,43
2016-12-10,28
2016-12-11,19
2016-12-12,39
2016-12-13,48
2016-12-14,42
2016-12-15,37
2016-12-16,31
2016-12-17,39
2016-12-18,22
2016-12-19,35
2016-12-20,39
2016-12-21,45
2016-12-22,42
2016-12-23,41
2016-12-24,21
2016-12-25,20
2016-12-26,29
2016-12-27,28
2016-12-28,36
2016-12-29,48
2016-12-30,26
2016-12-31,19
2017-01-01,16
2017-01-02,25
2017-01-03,41
2017-01-04,32
2017-01-05,30
2017-01-06,30
2017-01-07,28
2017-01-08,27
2017-01-09,49
2017-01-10,32
2017-01-11,31
2017-01-12,41
2017-01-13,36
2017-01-14,28
2017-01-15,22
2017-01-16,37
2017-01-17,33
2017-01-18,42
2017-01-19,35
2017-01-20,34
2017-01-21,25
2017-01-22,16
2017-01-23,40
2017-01-24,42
2017-01-25,28
2017-01-26,25
2017-01-27,18
2017-01-28,11
2017-01-29,21
2017-01-30,21
2017-01-31,22
2017-02-01,13
2017-02-02,14
2017-02-03,19
2017-02-04,27
2017-02-05,25
2017-02-06,49
2017-02-07,43
2017-02-08,39
2017-02-09,42
2017-02-10,40
2017-02-11,22
2017-02-12,20
2017-02-13,32
2017-02-14,33
2017-02-15,36
2017-02-16,31
2017-02-17,44
2017-02-18,22
2017-02-19,25
2017-02-20,45
2017-02-21,38
2017-02-22,42
2017-02-23,35
2017-02-24,33
2017-02-25,28
2017-02-26,19
2017-02-27,26
2017-02-28,13
2017-03-01,20
2017-03-02,32
2017-03-03,40
2017-03-04,12
2017-03-05,16
2017-03-06,28
2017-03-07,43
2017-03-08,45
2017-03-09,34
2017-03-10,47
2017-03-11,22
2017-03-12,21
2017-03-13,42
2017-03-14,36
2017-03-15,38
2017-03-16,30
2017-03-17,38
2017-03-18,24
2017-03-19,25
2017-03-20,35
2017-03-21,30
2017-03-22,35
2017-03-23,42
2017-03-24,40
2017-03-25,26
2017-03-26,18
2017-03-27,31
2017-03-28,39
2017-03-29,24
2017-03-30,36
2017-03-31,54
2017-04-01,31
